id,context,eventA,eventB,label_temp,label,counterfactual,new_label,new_temp
WSJ_20130322_159,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",seemed,yield,AFTER,1,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.""",0,BEFORE
WSJ_20130322_159,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",wrapped,confirmed,BEFORE,0,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers.” The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.""",1,AFTER
WSJ_20130322_159,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",told,spoken,AFTER,1,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Obama said at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.""",0,BEFORE
WSJ_20130322_159,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",expresses,spoken,AFTER,1,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said earlier at a news conference in Amman that he had spoken to both leaders over the past two years about how it is in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.""",0,BEFORE
WSJ_20130322_159,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",spoken,discussed,BEFORE,0,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.""",1,AFTER
WSJ_20130322_159,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",expresses,told,EQUAL,2,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu would have told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",0,BEFORE
WSJ_20130322_159,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",left,pointed,BEFORE,0,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship, which already pointed out several operational errors, left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",1,AFTER
WSJ_20130322_159,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said. Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",pointed,told,BEFORE,0,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries. The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps. Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said. Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent. ""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life while Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement. Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations. He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader. The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said.",2,EQUAL
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between  all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin  which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago  is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But if it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion  something that can now take weeks, if ever, to determine.",working,becoming,BEFORE,0,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between  all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard is working to develop quantum computers. Later, Lockheed Martin  which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago will be confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But if it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion  something that can now take weeks, if ever, to determine.",1,AFTER
nyt_20130322_strange_computer,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between  all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Now, Lockheed Martin  which bought an early version of such a computer from the Canadian company D-Wave Systems two years ago  is confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But if it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion  something that can now take weeks, if ever, to determine.",bought,becoming,BEFORE,0,"Our digital age is all about bits, those precise ones and zeros that are the stuff of modern computer code. But a powerful new type of computer that is about to be commercially deployed by a major American military contractor is taking computing into the strange, subatomic realm of quantum mechanics. In that infinitesimal neighborhood, common sense logic no longer seems to apply. A one can be a one, or it can be a one and a zero and everything in between  all at the same time. It sounds preposterous, particularly to those familiar with the yes/no world of conventional computing. But academic researchers and scientists at companies like Microsoft, I.B.M. and Hewlett-Packard have been working to develop quantum computers. Lockheed Martin was confident enough in the technology to upgrade it to commercial scale, becoming the first company to use quantum computing as part of its business. Later, he bought an early version of such a computer from the Canadian company D-Wave Systems. Skeptics say that D-Wave has yet to prove to outside scientists that it has solved the myriad challenges involved in quantum computation. But if it performs as Lockheed and D-Wave expect, the design could be used to supercharge even the most powerful systems, solving some science and business problems millions of times faster than can be done today. Ray Johnson, Lockheeds chief technical officer, said his company would use the quantum computer to create and test complex radar, space and aircraft systems. It could be possible, for example, to tell instantly how the millions of lines of software running a network of satellites would react to a solar burst or a pulse from a nuclear explosion  something that can now take weeks, if ever, to determine.",1,AFTER
